Date,equity,cash,is_month_start,rebalanced,rebalance_reason,sso_close,sso_shares,sso_weight,sso_signal_today,sso_pending_intent,sso_pending_reason,sso_pending_delta,sso_executed_intent,sso_exec_side,sso_exec_shares,sso_exec_price,qld_close,qld_shares,qld_weight,qld_signal_today,qld_pending_intent,qld_pending_reason,qld_pending_delta,qld_executed_intent,qld_exec_side,qld_exec_shares,qld_exec_price
2023-09-22,165533115,20,False,False,,26.49733,2939894,0.4706,hold,,,0.0,,,0,0.0,29.463617,2974304,0.5294,hold,,,0.0,,,0,0.0
2023-09-25,166948248,20,False,False,,26.712357,2939894,0.4704,hold,,,0.0,,,0,0.0,29.726864,2974304,0.5296,hold,,,0.0,,,0,0.0
2023-09-26,161946408,20,False,False,,25.925547,2939894,0.4706,hold,,,0.0,,,0,0.0,28.822887,2974304,0.5294,hold,,,0.0,,,0,0.0
2023-09-27,162461851,20,False,False,,25.945097,2939894,0.4695,hold,,,0.0,,,0,0.0,28.976862,2974304,0.5305,hold,,,0.0,,,0,0.0
2023-09-28,164668634,20,False,False,,26.233427,2939894,0.4684,hold,,,0.0,,,0,0.0,29.433817,2974304,0.5316,hold,,,0.0,,,0,0.0
2023-09-29,164370591,20,False,False,,26.086823,2939894,0.4666,hold,,,0.0,,,0,0.0,29.478519,2974304,0.5334,hold,,,0.0,,,0,0.0
2023-10-02,165730918,20,True,False,,26.072157,2939894,0.4625,hold,,,0.0,,,0,0.0,29.950375,2974304,0.5375,hold,,,0.0,,,0,0.0
2023-10-03,160544102,20,False,False,,25.378202,2939894,0.4647,hold,,,0.0,,,0,0.0,28.892426,2974304,0.5353,hold,,,0.0,,,0,0.0
2023-10-04,163912286,20,False,False,,25.734955,2939894,0.4616,hold,,,0.0,,,0,0.0,29.672228,2974304,0.5384,hold,,,0.0,,,0,0.0
2023-10-05,163221207,20,False,False,,25.695862,2939894,0.4628,hold,,,0.0,,,0,0.0,29.478519,2974304,0.5372,hold,,,0.0,,,0,0.0
2023-10-06,167869543,20,False,False,,26.292078,2939894,0.4605,hold,,,0.0,,,0,0.0,30.452032,2974304,0.5395,hold,,,0.0,,,0,0.0
2023-10-09,169791980,20,False,False,,26.624388,2939894,0.461,hold,,,0.0,,,0,0.0,30.769915,2974304,0.539,hold,,,0.0,,,0,0.0
2023-10-10,171513289,20,False,False,,26.888288,2939894,0.4609,hold,,,0.0,,,0,0.0,31.087795,2974304,0.5391,hold,,,0.0,,,0,0.0
2023-10-11,173532897,20,False,False,,27.117979,2939894,0.4594,hold,,,0.0,,,0,0.0,31.53978,2974304,0.5406,hold,,,0.0,,,0,0.0
2023-10-12,171802502,20,False,False,,26.785664,2939894,0.4584,hold,,,0.0,,,0,0.0,31.286469,2974304,0.5416,hold,,,0.0,,,0,0.0
2023-10-13,168693344,20,False,False,,26.511992,2939894,0.462,hold,,,0.0,,,0,0.0,30.511635,2974304,0.538,hold,,,0.0,,,0,0.0
2023-10-16,172385460,20,False,False,,27.05933,2939894,0.4615,hold,,,0.0,,,0,0.0,31.211967,2974304,0.5385,hold,,,0.0,,,0,0.0
2023-10-17,171721491,20,False,False,,27.049561,2939894,0.4631,hold,,,0.0,,,0,0.0,30.998388,2974304,0.5369,hold,,,0.0,,,0,0.0
2023-10-18,167009454,20,False,False,,26.331169,2939894,0.4635,hold,,,0.0,,,0,0.0,30.12422,2974304,0.5365,hold,,,0.0,,,0,0.0
2023-10-19,163933737,20,False,False,,25.832697,2939894,0.4633,hold,,,0.0,,,0,0.0,29.582829,2974304,0.5367,hold,,,0.0,,,0,0.0
2023-10-20,159465516,20,False,False,,25.202276,2939894,0.4646,hold,,,0.0,,,0,0.0,28.703682,2974304,0.5354,hold,,,0.0,,,0,0.0
