Date,equity,cash,is_month_start,rebalanced,rebalance_reason,sso_close,sso_shares,sso_weight,sso_signal_today,sso_pending_intent,sso_pending_reason,sso_pending_delta,sso_executed_intent,sso_exec_side,sso_exec_shares,sso_exec_price,qld_close,qld_shares,qld_weight,qld_signal_today,qld_pending_intent,qld_pending_reason,qld_pending_delta,qld_executed_intent,qld_exec_side,qld_exec_shares,qld_exec_price,ugl_close,ugl_shares,ugl_weight,ugl_signal_today,ugl_pending_intent,ugl_pending_reason,ugl_pending_delta,ugl_executed_intent,ugl_exec_side,ugl_exec_shares,ugl_exec_price,ubt_close,ubt_shares,ubt_weight,ubt_signal_today,ubt_pending_intent,ubt_pending_reason,ubt_pending_delta,ubt_executed_intent,ubt_exec_side,ubt_exec_shares,ubt_exec_price
2019-05-30,38991080,18,False,False,,13.727248,967707,0.3407,hold,,,0.0,,,0,0.0,10.633636,1234270,0.3366,hold,,,0.0,,,0,0.0,9.1725,652535,0.1535,hold,,,0.0,,,0,0.0,38.362625,171963,0.1692,hold,,,0.0,,,0,0.0
2019-05-31,38532205,18,False,False,,13.360285,967707,0.3355,hold,,,0.0,,,0,0.0,10.278152,1234270,0.3292,hold,,,0.0,,,0,0.0,9.4225,652535,0.1596,hold,,,0.0,,,0,0.0,39.362072,171963,0.1757,hold,,,0.0,,,0,0.0
2019-06-03,38191698,18,True,False,,13.285445,967707,0.3366,hold,INCREASE_TO_TARGET,rebalance 2019-06-03,510676.0,,,0,0.0,9.846141,1234270,0.3182,hold,INCREASE_TO_TARGET,rebalance 2019-06-03,1214298.0,,,0,0.0,9.7,652535,0.1657,hold,REDUCE_TO_TARGET,rebalance 2019-06-03,-600835.0,,,0,0.0,39.850872,171963,0.1794,hold,REDUCE_TO_TARGET,rebalance 2019-06-03,-1124121.0,,,0,0.0
2019-06-04,39315565,18,False,True,monthly,13.860032,1005322,0.3544,hold,,,0.0,INCREASE_TO_TARGET,buy,37615,13.535319,10.384302,1354765,0.3578,hold,,,0.0,INCREASE_TO_TARGET,buy,120495,10.047334,9.7175,590150,0.1459,hold,,,0.0,REDUCE_TO_TARGET,sell,62385,9.63102,38.951824,143220,0.1419,hold,,,0.0,REDUCE_TO_TARGET,sell,28743,39.109097
2019-06-05,39713218,18,False,False,,14.099037,1005322,0.3569,hold,,,0.0,,,0,0.0,10.537358,1354765,0.3595,hold,,,0.0,,,0,0.0,9.7525,590150,0.1449,hold,,,0.0,,,0,0.0,38.458637,143220,0.1387,hold,,,0.0,,,0,0.0
2019-06-06,40194577,18,False,False,,14.28493,1005322,0.3573,hold,,,0.0,,,0,0.0,10.699055,1354765,0.3606,hold,,,0.0,,,0,0.0,9.8125,590150,0.1441,hold,,,0.0,,,0,0.0,38.737968,143220,0.138,hold,,,0.0,,,0,0.0
2019-06-07,41190401,18,False,False,,14.563774,1005322,0.3555,hold,,,0.0,,,0,0.0,11.108846,1354765,0.3654,hold,,,0.0,,,0,0.0,9.92,590150,0.1421,hold,,,0.0,,,0,0.0,39.41444,143220,0.137,hold,,,0.0,,,0,0.0
2019-06-10,41457981,18,False,False,,14.706213,1005322,0.3566,hold,,,0.0,,,0,0.0,11.363114,1354765,0.3713,hold,,,0.0,,,0,0.0,9.725,590150,0.1384,hold,,,0.0,,,0,0.0,38.681229,143220,0.1336,hold,,,0.0,,,0,0.0
2019-06-11,41497922,18,False,False,,14.695349,1005322,0.356,hold,,,0.0,,,0,0.0,11.402615,1354765,0.3723,hold,,,0.0,,,0,0.0,9.7025,590150,0.138,hold,,,0.0,,,0,0.0,38.755421,143220,0.1338,hold,,,0.0,,,0,0.0
2019-06-12,41335786,18,False,False,,14.643443,1005322,0.3561,hold,,,0.0,,,0,0.0,11.276713,1354765,0.3696,hold,,,0.0,,,0,0.0,9.7925,590150,0.1398,hold,,,0.0,,,0,0.0,38.807793,143220,0.1345,hold,,,0.0,,,0,0.0
