a,b,rmse_pct
-5.3,0.25,5.4919
-7.75,0.3,5.4967
-6.0,0.57,5.4983
-5.45,0.35,5.4999
-8.75,0.7,5.505
-9.5,0.9,5.5164
-5.25,0.21,5.5177
-7.5,0.1,5.5224
-5.35,0.29,5.5424
-9.75,0.95,5.5604
-8.0,0.4,5.5629
-8.5,0.6,5.5678
-7.5,0.05,5.5754
-7.75,0.25,5.5791
-9.0,0.75,5.5845
-8.25,0.5,5.5865
-5.7,0.47,5.5895
-5.65,0.45,5.5934
-10.0,1.0,5.5958
-6.2,0.63,5.5997
-5.75,0.49,5.6185
-7.5,0.0,5.6208
