Date,equity,active_tranches,avg_entry_price,ma250_equity,ma250_position,ma200_equity,ma200_position,ma150_equity,ma150_position,drawdown_pct
2014-06-12,47534292,3,0.38885905035242235,8255780,5932099,19252535,13833696,20025978,14389445,-14.82
2014-06-13,47860236,3,0.38885905035242235,8312390,5932099,19384550,13833696,20163296,14389445,-14.24
2014-06-16,48036818,3,0.38885905035242235,8343059,5932099,19456070,13833696,20237690,14389445,-13.92
2014-06-17,48104719,3,0.38885905035242235,8354852,5932099,19483571,13833696,20266296,14389445,-13.8
2014-06-18,48980664,3,0.38885905035242235,8506986,5932099,19838350,13833696,20635328,14389445,-12.23
2014-06-19,48790556,3,0.38885905035242235,8473968,5932099,19761352,13833696,20555236,14389445,-12.57
2014-06-20,48967139,3,0.38885905035242235,8504637,5932099,19832872,13833696,20629629,14389445,-12.25
2014-06-23,49021411,3,0.38885905035242235,8514063,5932099,19854854,13833696,20652494,14389445,-12.15
2014-06-24,48885644,3,0.38885905035242235,8490483,5932099,19799865,13833696,20595296,14389445,-12.4
2014-06-25,49783483,3,0.38885905035242235,8646420,5932099,20163511,13833696,20973552,14389445,-10.79
2014-06-26,49919318,3,0.38885905035242235,8670012,5932099,20218528,13833696,21030778,14389445,-10.55
2014-06-27,50415116,3,0.38885905035242235,8756123,5932099,20419338,13833696,21239656,14389445,-9.66
2014-06-30,50788672,3,0.38885905035242235,8821002,5932099,20570637,13833696,21397033,14389445,-8.99
2014-07-01,52493394,3,0.38885905035242235,9117079,5932099,21261091,13833696,22115224,14389445,-5.93
2014-07-02,52697130,3,0.38885905035242235,9152464,5932099,21343609,13833696,22201058,14389445,-5.57
2014-07-03,53709116,3,0.38885905035242235,9328226,5932099,21753487,13833696,22627402,14389445,-3.75
2014-07-07,53192962,3,0.38885905035242235,9238580,5932099,21544432,13833696,22409949,14389445,-4.68
2014-07-08,51338810,3,0.38885905035242235,8916550,5932099,20793456,13833696,21628804,14389445,-8.0
2014-07-09,52500191,3,0.38885905035242235,9118259,5932099,21263844,13833696,22118088,14389445,-5.92
2014-07-10,52004393,3,0.38885905035242235,9032149,5932099,21063034,13833696,21909211,14389445,-6.81
2014-07-11,52907697,3,0.38885905035242235,9189035,5932099,21428893,13833696,22289768,14389445,-5.19
2014-07-14,53919649,3,0.38885905035242235,9364791,5932099,21838758,13833696,22716099,14389445,-3.38
2014-07-15,53355950,3,0.38885905035242235,9266888,5932099,21610447,13833696,22478616,14389445,-4.39
2014-07-16,53960430,3,0.38885905035242235,9371874,5932099,21855276,13833696,22733280,14389445,-3.3
2014-07-17,51807454,3,0.38885905035242235,8997945,5932099,20983269,13833696,21826241,14389445,-7.16
2014-07-18,54259254,3,0.38885905035242235,9423774,5932099,21976307,13833696,22859173,14389445,-2.77
2014-07-21,54062281,3,0.38885905035242235,9389564,5932099,21896528,13833696,22776189,14389445,-3.12
2014-07-22,55135404,3,0.38885905035242235,9575945,5932099,22331169,13833696,23228291,14389445,-1.2
2014-07-23,56167746,3,0.38885905035242235,9755242,5932099,22749292,13833696,23663212,14389445,0.0
2014-07-24,55970773,3,0.38885905035242235,9721032,5932099,22669513,13833696,23580228,14389445,-0.35
2014-07-25,55284799,3,0.38885905035242235,9601892,5932099,22391677,13833696,23291231,14389445,-1.57
2014-07-28,55352734,3,0.38885905035242235,9613690,5932099,22419192,13833696,23319851,14389445,-1.45
2014-07-29,55074266,3,0.38885905035242235,9565326,5932099,22306406,13833696,23202534,14389445,-1.95
2014-07-30,55733053,3,0.38885905035242235,9679744,5932099,22573231,13833696,23480078,14389445,-0.77
2014-07-31,52337202,3,0.38885905035242235,9089951,5932099,21197829,13833696,22049422,14389445,-6.82
2014-08-01,51732723,3,0.38885905035242235,8984965,5932099,20953000,13833696,21794757,14389445,-7.9
2014-08-04,52792252,3,0.38885905035242235,9168985,5932099,21382135,13833696,22241132,14389445,-6.01
2014-08-05,51556140,3,0.38885905035242235,8954296,5932099,20881480,13833696,21720364,14389445,-8.21
2014-08-06,51467849,3,0.38885905035242235,8938962,5932099,20845720,13833696,21683167,14389445,-8.37
2014-08-07,50972051,3,0.38885905035242235,8852851,5932099,20644910,13833696,21474290,14389445,-9.25
2014-08-08,52058734,3,0.38885905035242235,9041587,5932099,21085043,13833696,21932104,14389445,-7.32
2014-08-11,53002785,3,0.38885905035242235,9205550,5932099,21467406,13833696,22329829,14389445,-5.63
2014-08-12,52880509,3,0.38885905035242235,9184313,5932099,21417882,13833696,22278314,14389445,-5.85
2014-08-13,54598860,3,0.38885905035242235,9482757,5932099,22113855,13833696,23002247,14389445,-2.79
2014-08-14,55441025,3,0.38885905035242235,9629025,5932099,22454952,13833696,23357048,14389445,-1.29
2014-08-15,56194900,3,0.38885905035242235,9759958,5932099,22760290,13833696,23674652,14389445,0.0
2014-08-18,57553254,3,0.38885905035242235,9995878,5932099,23310456,13833696,24246920,14389445,0.0
2014-08-19,58544849,3,0.38885905035242235,10168099,5932099,23712076,13833696,24664674,14389445,0.0
2014-08-20,58544849,3,0.38885905035242235,10168099,5932099,23712076,13833696,24664674,14389445,0.0
2014-08-21,58877657,3,0.38885905035242235,10225901,5932099,23846871,13833696,24804885,14389445,0.0
